time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_torque_nm,joint2_torque_nm,joint3_torque_nm,joint4_torque_nm,joint5_torque_nm,joint6_torque_nm,angle_ref_rad,vel_ref_rad_s,joint_id
1.0155059001408517,1.044,0.016,0.012,0.0,0.08600000000000001,0.003,0.1393875,0.85995,-0.8150624999999999,0.012459719999999999,-1.1357514,-0.009584399999999998,0.029033342667415436,0.12733922222550628,2
1.0204250770621002,1.044,0.017,0.012,0.0,0.08600000000000001,0.003,0.15238125,0.751275,-0.8127,0.009584399999999998,-1.13479296,-0.01629348,0.029288579617227084,0.12789772758614448,2
1.0291622360236943,1.044,0.018000000000000002,0.012,0.0,0.08600000000000001,0.003,0.1393875,0.7961624999999999,-0.81860625,0.009584399999999998,-1.13479296,-0.01629348,0.029544933577760012,0.12845623294678266,2
1.0326245920732617,1.044,0.018000000000000002,0.012,0.0,0.08600000000000001,0.003,0.1393875,0.7961624999999999,-0.81860625,0.01054284,-1.13479296,-0.02012724,0.029802404549014217,0.12901473830742086,2
1.0370922139845788,1.044,0.018000000000000002,0.012,0.0,0.08600000000000001,0.003,0.14883749999999998,0.9048375,-0.8091562499999999,0.00191688,-1.13383452,-0.02012724,0.030060992530989695,0.12957324366805903,2
1.0433001439087093,1.044,0.018000000000000002,0.012,0.0,0.08600000000000001,0.003,0.1512,0.9048375,-0.8091562499999999,0.00191688,-1.13383452,-0.023961,0.030320697523686452,0.13013174902869723,2
1.04771797824651,1.044,0.019,0.012,0.0,0.08600000000000001,0.003,0.1512,0.8764875,-0.8150624999999999,0.01054284,-1.15204488,-0.023961,0.030581519527104487,0.1306902543893354,2
1.0510163907893002,1.044,0.019,0.012,0.0,0.08600000000000001,0.003,0.146475,0.8764875,-0.8150624999999999,0.01054284,-1.15204488,-0.023961,0.030843458541243797,0.1312487597499736,2
1.054642050061375,1.044,0.019,0.012,0.0,0.08600000000000001,0.003,0.146475,0.8764875,-0.8150624999999999,0.00862596,-1.1156241599999999,-0.02587788,0.031106514566104384,0.13180726511061178,2
1.059031565207988,1.044,0.019,0.012,0.0,0.08600000000000001,0.003,0.14883749999999998,0.789075,-0.8127,-0.00670908,-1.13766828,-0.019168799999999996,0.031370687601686244,0.13236577047124995,2
1.0687012681737542,1.044,0.02,0.012,0.001,0.08600000000000001,0.003,0.14883749999999998,0.8315999999999999,-0.8103375,0.009584399999999998,-1.14916956,-0.01629348,0.03163597764798938,0.13292427583188815,2
1.0724564488045871,1.044,0.02,0.012,0.0,0.08600000000000001,0.003,0.15001874999999998,0.8859374999999999,-0.8091562499999999,0.02012724,-1.1213748000000001,-0.02300256,0.031902384705013796,0.13348278119252632,2
1.0806026998907328,1.044,0.02,0.012,0.0,0.08600000000000001,0.003,0.14529375,0.79970625,-0.8103375,0.02108568,-1.1213748000000001,-0.02300256,0.03216990877275948,0.1340412865531645,2
1.0852423962205648,1.044,0.021,0.012,0.0,0.08600000000000001,0.003,0.1535625,0.73828125,-0.8103375,0.02108568,-1.1213748000000001,-0.02300256,0.03243854985122645,0.1345997919138027,2
1.0891424138098955,1.044,0.021,0.012,0.0,0.08600000000000001,0.003,0.1535625,0.73828125,-0.8103375,0.01533504,-1.1434189199999998,-0.01629348,0.03270830794041469,0.13515829727444087,2
1.0939059178344905,1.044,0.021,0.012,0.0,0.08600000000000001,0.003,0.1535625,0.8256937499999999,-0.8150624999999999,0.01533504,-1.13862672,-0.019168799999999996,0.03297918304032421,0.13571680263507907,2
1.0990226520225406,1.044,0.021,0.012,0.0,0.08600000000000001,0.003,0.1535625,0.8256937499999999,-0.8150624999999999,0.012459719999999999,-1.13862672,-0.019168799999999996,0.033251175150955006,0.13627530799571724,2
1.1032820111140609,1.044,0.022,0.012,0.0,0.08600000000000001,0.003,0.14293124999999998,0.84223125,-0.8079749999999999,0.00766752,-1.13862672,-0.019168799999999996,0.03352428427230708,0.13683381335635544,2
1.106281615793705,1.044,0.022,0.012,0.0,0.08600000000000001,0.003,0.146475,0.84223125,-0.8079749999999999,0.00766752,-1.13862672,-0.01821036,0.03379851040438043,0.13739231871699362,2
1.1103880568407476,1.044,0.022,0.012,0.0,0.08600000000000001,0.003,0.146475,0.84223125,-0.8079749999999999,0.004792199999999999,-1.1213748000000001,-0.0287532,0.034073853547175056,0.13795082407763182,2
1.1149526108056307,1.044,0.022,0.012,0.0,0.08600000000000001,0.003,0.146475,0.75718125,-0.8138812499999999,0.004792199999999999,-1.1357514,-0.02587788,0.03435031370069096,0.13850932943827,2
