t_s,phase,q_ref_target_rad,omega_ref_target_rad_s,q_target_rad,tau_ff_target_nm,tau_total_target_est_nm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,tau_ff_1_nm,tau_ff_2_nm,tau_ff_3_nm,tau_ff_4_nm,tau_ff_5_nm,tau_ff_6_nm
0.881737,const_vel,0.098000,0.100000,-0.034000,2.755283,3.415283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.890222,const_vel,0.099000,0.100000,-0.034000,2.755283,3.420283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.900061,const_vel,0.100000,0.100000,-0.034000,2.755283,3.425283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.910500,const_vel,0.101000,0.100000,-0.034000,2.755283,3.430283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.920518,const_vel,0.102000,0.100000,-0.034000,2.755283,3.435283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.932916,const_vel,0.103000,0.100000,-0.034000,2.755283,3.440283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.940451,const_vel,0.104000,0.100000,-0.034000,2.755283,3.445283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.953541,const_vel,0.105000,0.100000,-0.034000,2.755283,3.450283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.963003,const_vel,0.106000,0.100000,-0.034000,2.755283,3.455283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
0.970206,const_vel,0.107000,0.100000,-0.034000,2.755283,3.460283,0.001000,-0.034000,0.033000,0.062000,0.352000,-0.401000,0.000000,2.755283,-4.763222,-0.005459,-0.876222,-0.013198
